Date,HDFCBANK,ICICIBANK,SBIN,KOTAKBANK,AXISBANK,TCS,INFY,WIPRO,HCLTECH,TECHM,SUNPHARMA,DRREDDY,CIPLA,DIVISLAB,APOLLOHOSP,NIFTY50
16-11-2023,734.0924072,920.9051514,563.6887207,353.7739258,1024.682739,3257.626465,1360.351563,185.7248077,1210.582397,1141.658325,1160.620728,1095.375244,1211.476807,3510.619873,5304.389648,19765.19922
17-11-2023,732.5106812,906.9833374,542.8630981,352.127655,992.7348022,3261.9104,1353.431641,184.929718,1208.828125,1137.449829,1165.547729,1108.671753,1225.801025,3562.662109,5443.6875,19731.80078
20-11-2023,732.5593262,906.5898438,543.5380249,353.3149414,987.0939941,3277.882568,1352.537231,187.1746979,1223.832886,1146.008667,1159.108276,1107.209595,1223.544434,3633.99707,5438.719238,19694
21-11-2023,738.7645874,911.1647949,541.3687134,352.6464539,990.1889038,3269.128174,1354.796631,187.3851471,1224.940796,1139.104858,1172.182495,1115.566895,1229.578247,3682.131348,5431.615234,19783.40039
22-11-2023,736.1365356,907.8688354,538.9100952,348.3461304,996.4786377,3287.708008,1372.496582,187.1980743,1227.803345,1149.413208,1174.816895,1119.142944,1247.483521,3662.442383,5496.395996,19811.84961
23-11-2023,740.3950195,908.1148071,539.8742676,347.0789795,997.427124,3267.312256,1364.446899,188.2503967,1227.157104,1145.157471,1169.645752,1115.211304,1148.538452,3649.382568,5458.59082,19802
24-11-2023,745.6512451,914.4116211,540.2598877,348.0168762,1006.861816,3219.674805,1353.290283,185.2103271,1208.828125,1132.81604,1166.377075,1115.507568,1176.009521,3724.873291,5366.536621,19794.69922
28-11-2023,743.972168,910.5745239,544.2128906,347.6676941,1019.491272,3231.828369,1358.280151,185.6078949,1215.753418,1137.119019,1162.376831,1121.365601,1169.779541,3720.272461,5332.258789,19889.69922
29-11-2023,758.8161011,924.4470825,548.2141113,349.9026184,1058.427979,3272.434082,1374.191284,190.0042877,1231.727539,1155.370972,1172.963013,1129.179443,1178.854858,3690.195068,5387.053711,20096.59961
30-11-2023,758.645752,919.8721313,544.5021973,350.3017273,1072.505005,3248.080322,1370.001709,193.1846619,1238.145264,1154.661743,1196.037842,1143.5625,1189.401733,3748.519531,5493.365723,20133.15039
01-12-2023,756.9910278,931.4326172,551.2511597,349.3139954,1102.855713,3270.478271,1367.318481,190.6590729,1234.266846,1154.283569,1201.306519,1135.906616,1182.926392,3752.477295,5555.165039,20267.90039
04-12-2023,783.2720337,975.2149658,573.378418,362.8934021,1123.771484,3271.223633,1378.663208,190.5655365,1235.421021,1157.45166,1201.208862,1137.210571,1193.522339,3757.820313,5586.362793,20686.80078
05-12-2023,790.2315674,997.1061401,586.4425659,364.8689575,1130.610352,3289.058594,1368.871826,189.1156616,1216.584351,1154.330688,1209.404785,1141.250854,1201.322144,3701.473877,5544.285645,20855.09961
06-12-2023,792.2271118,987.0706177,586.635376,363.4621277,1118.67981,3356.579346,1388.03125,195.8505859,1227.664917,1158.680908,1210.185181,1132.142944,1182.435791,3694.845215,5507.424805,20937.69922
07-12-2023,793.5167236,982.8891602,589.7689209,364.5496521,1116.03418,3366.637207,1380.122681,195.6167297,1226.233765,1156.836914,1209.160767,1142.959961,1199.703491,3694.746094,5426.25,20901.15039
